"date","category1","category2","category3","fulltext","attachmentLink","resolution"
"2023-09-26","7. - PETITIONS","7a.",,"Natalie Turner request the city zoning map be amended to rezone the block situated within the borders of Mayfield St., Parker St., Winfield St. and May St. from BG-4 to RL-7.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22104041","Mayor Petty read the item and recognized Councilor Rose, who moved to place the item on file.  Mayor Petty recognized Councilor Haxhiaj, who spoke concerning the item.  Mayor Petty moved for a roll call vote on Councilor Rose�s motion to place the item on file. Placed on file on a roll call vote of 7 Yeas and 4 Nays (Yeas � Bergman, Colorio, Mero-Carlson, Rose, Russell, Toomey, Petty) (Nays � Haxhiaj, King, Nguyen, Rivera)."
"2023-09-26","7. - PETITIONS","7b.",,"Todd Binns request removal of handicap parking space in front of 16 Louise St.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22110622","Mayor Petty read the item and moved for a roll call vote to refer items #7b CC through #7d CC to Traffic and Parking Committee. Referred to Traffic and Parking Committee on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","7. - PETITIONS","7c.",,"Fanny Erazo de Acosta request installation of handicap parking space in front of 17 Jefferson St.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22121112","Referred to Traffic and Parking Committee on a roll call vote of 11 Yeas and 0 Nays (See Item #7b CC)"
"2023-09-26","7. - PETITIONS","7d.",,"Councilor George J. Russell on behalf of Sheila Crotty request installation of a speed bump in the vicinity of 55 Standish St.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023sep22024413","Referred to Traffic and Parking Committee on a roll call vote of 11 Yeas and 0 Nays (See Item #7b CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8a.",,"FROM THE COMMITTEE ON PUBLIC WORKS  - Request City Manager provide City Council with report concerning short- and long-term plans to utilize Revenue Days and Community Event Days at Polar Park.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cm2023aug16085646","Mayor Petty read the item and moved for a roll call vote to adopt items #8a CC through #8v CC. Order adopted on a roll call vote of 11 Yeas and 0 Nays"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8b.",,"FROM THE COMMITTEE ON PUBLIC WORKS  - Request City Manager facilitate the transfer of the care and custody control of Polar Park to the Department of Public Facilities. Further, request City Manager provide City Council with report documenting said process.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cm2023jul10010056","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8c.",,"FROM THE COMMITTEE ON PUBLIC WORKS  - Request City Manager request Commissioner of Public Works and Parks provide City Council with a report concerning the city�s contracts with utility companies, including information relative to the policies for street patching and the street patching warranty. Further, request said report include information relative to the staffing level of DPW inspectors and whether the staffing number is sufficient to perform street patching inspections.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2022jun03122056","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8d.",,"FROM THE COMMITTEE ON PUBLIC WORKS  - Request City Manager request Commissioner of Public Works and Parks review the even side of the sidewalk on Goldthwaite Rd.at Pleasant Valley Dr. for any necessary immediate repairs.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023jul14111722","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8e.",,"FROM THE COMMITTEE ON PUBLIC WORKS  - Request City Manager request Commissioner of Public Works and Parks review the even side of the sidewalk on Richland St. for any necessary immediate repairs.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023jun15105157","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8f.",,"FROM THE COMMITTEE ON PUBLIC WORKS  - Request City Manager request Commissioner of Public Works and Parks notify property owners through a mailing within the city�s next tax bill of the proper procedure for replanting public shade trees that have been removed.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023jun09024204","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8g.",,"FROM THE COMMITTEE ON PUBLIC WORKS  - Request City Clerk make efforts to work with petitioners to determine whether items can be done administratively without going to City Council and by providing residents information concerning the city�s 311 program.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023jun09024342","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8h.",,"FROM THE COMMITTEE ON PUBLIC WORKS  - Request City Manager request Commissioner of Public Works and Parks review the sidewalk in front of 32 Varnum St. for any necessary immediate repairs.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2023may05011439","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
"2023-09-26","8. - CHAIRMAN'S ORDERS","8i.",,"FROM THE COMMITTEE ON TRAFFIC AND PARKING  - Request City Manager request Commissioner of Transportation and Mobility install MUTCD-compliant Pedestrian in Crosswalk signage in the vicinity of Goddard School of Science & Technology, 14 Richards St.","https://www.worcesterma.gov/cgi-bin/weblink.cgi?unique_id=cc2021jun03034450","Order adopted on a roll call vote of 11 Yeas and 0 Nays (See Item #8a CC)"
